PASpringID,HydrologicUnit,Spring_Type,Permanence,SphereOfDischarge,NumOfOpenings,FormationName,Lithology,ContributingUnit,DischargeType,SourceOfDischargeData,DischMeasMethod,Discharge(gpm),DateDischarged,VisitorName,VisitDate,County
1983, ,CONTACT , , , ,MONTALTO MEMBER OF HARPERS FORMATION ,QUARTZITE ,UNKNOWN ,FLOWING ,USGS OR PAGS ,ESTIMATED ,1,8/13/2015, , ,Adams
1983, ,CONTACT , , , ,MONTALTO MEMBER OF HARPERS FORMATION ,QUARTZITE ,UNKNOWN ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,1,9/1/1979,Fauth ,9/1/1979,Adams
1829, ,PERCHED OR CONTACT ,OTHER ,SUBAERIAL ,1,METARHYOLITE ,METAMORPHIC (UNDIFFERENTIATED) , ,PUMPED ,USGS OR PAGS ,ESTIMATED ,2,6/19/2015, , ,Adams
1718,2050306, , , , ,NEW OXFORD FORMATION ,CONGLOMERATE ,UNKNOWN , , , , , , , ,Adams
1716,2050306, , , , ,CONESTOGA FORMATION ,LIMESTONE ,PRIMARY ,PUMPED ,WELL OWNER ,REPORTED METHOD NOT KNOWN ,15,9/22/1997,D. LOW ,9/22/1997,Adams
1715,2050306, , , , ,CONESTOGA FORMATION ,LIMESTONE ,PRIMARY ,PUMPED ,WELL OWNER ,REPORTED METHOD NOT KNOWN ,3,9/22/1997,D. LOW ,9/22/1997,Adams
1159,2050306,CONTACT ,PERENNIAL ,SUBAQUEOUS , ,HEIDLERSBURG MEM OF GETTY ,SANDSTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2,10/31/1925,G.M.HALL ,10/31/1925,Adams
1155,2050306,PERCHED OR CONTACT , ,SUBAERIAL ,1,NEW OXFORD FORMATION ,SANDSTONE AND SHALE ,PRIMARY , , , , , , , ,Adams
1154,2070004,PERCHED OR CONTACT , , , ,WEVERTON FORMATION ,QUARTZITE ,PRIMARY , , , , , , , ,Adams
1152,2070009, , , , ,METARHYOLITE ,METAMORPHIC (UNDIFFERENTIATED) , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2,10/30/1925,G.M.HALL ,10/30/1925,Adams
1149,2050306,FRACTURE AND DEPRESSION ,PERENNIAL ,SUBAQUEOUS ,2,NEW OXFORD FORMATION ,SANDSTONE AND SHALE ,PRIMARY , , , , , , , ,Adams
1148,2070009,PERCHED OR CONTACT , , ,2,METARHYOLITE ,METAMORPHIC (UNDIFFERENTIATED) ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,5,10/27/1925, , ,Adams
1148,2070009,PERCHED OR CONTACT , , ,2,METARHYOLITE ,METAMORPHIC (UNDIFFERENTIATED) ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,5,10/30/1925,G.M.HALL ,10/30/1925,Adams
1146,2070009, , , , ,NEW OXFORD FORMATION ,CONGLOMERATE , ,UNKNOWN ,USGS OR PAGS ,ESTIMATED ,10,8/8/1960, , ,Adams
2272, ,PERCHED OR CONTACT ,RESPONSE TO PRECIPITATION , ,3,MONONGAHELA GROUP ,LIMESTONE AND SHALE , , , , , , , , ,Allegheny
784,5010007, , , , ,GLENSHAW FORMATION ,SHALE ,PRIMARY , , , , , , , ,Allegheny
1217,5010006,SEEPAGE OR FILTRATION , , , ,BURGOON MEMBER OF POCONO FORMATION ,SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2,8/23/1926,A M PIPER ,8/23/1926,Armstrong
2089, ,SEEPAGE OR FILTRATION , , , ,ALLEGHENY GROUP ,SANDSTONE AND SHALE , ,FLOWING ,PRIVATE/UNIV GEOLOGIST (CONSULTANT) ,REPORTED METHOD NOT KNOWN ,10,6/26/2014, , ,Beaver
2088, ,SEEPAGE OR FILTRATION , , , ,ALLEGHENY GROUP ,SANDSTONE AND SHALE , , , , , , , , ,Beaver
1214,5030104, , , , ,POTTSVILLE GROUP ,SANDSTONE , , , , , , , , ,Beaver
1208,5030101,SEEPAGE OR FILTRATION , , ,10,CASSELMAN FORMATION ,SANDSTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,4,9/20/1926,Flippo ,9/20/1926,Beaver
2127, ,PERCHED OR CONTACT ,PERENNIAL , , ,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY , , , , , , , ,Bedford
2009, ,FRACTURE , ,SUBAQUEOUS ,5,GATESBURG FORMATION ,DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,100,8/1/1992,Geyer ,8/1/1992,Bedford
2006, ,FRACTURE ,PERENNIAL , ,3,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,100,4/1/1984,Geyer ,4/1/1984,Bedford
2005, ,SEEPAGE OR FILTRATION ,PERENNIAL ,SUBAERIAL , ,ONONDAGA & OLD PORT FMS ,LIMESTONE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,100,4/1/1984,Geyer ,4/1/1984,Bedford
2004, ,FRACTURE AND DEPRESSION ,PERENNIAL ,SUBAQUEOUS ,2,KEYSER & TONOLOWAY FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,30,7/29/2015, , ,Bedford
2004, ,FRACTURE AND DEPRESSION ,PERENNIAL ,SUBAQUEOUS ,2,KEYSER & TONOLOWAY FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,50,1/1/1984,Geyer ,1/1/1984,Bedford
1183,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS ,1,GATESBURG FORMATION ,DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,CALIBRATED AIRLINE ,653,8/1/1985,WOZNIEWICZ ,8/1/1985,Bedford
1183,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS ,1,GATESBURG FORMATION ,DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,100,8/12/1992,Dick Ferry ,8/12/1992,Bedford
1181,2050303,SEEPAGE OR FILTRATION , , , ,JUNIATA FORMATION ,SANDSTONE , ,FLOWING ,USGS OR PAGS , ,8,8/16/1972, , ,Bedford
1181,2050303,SEEPAGE OR FILTRATION , , , ,JUNIATA FORMATION ,SANDSTONE , ,FLOWING ,OTHER/UNKNOWN/UNSPECIFIED ,ESTIMATED ,8,1/1/1971, ,1/1/1971,Bedford
1180,2050303,SEEPAGE OR FILTRATION , , , ,JUNIATA FORMATION ,SANDSTONE , ,FLOWING ,USGS OR PAGS , ,9,8/16/1972, , ,Bedford
1180,2050303,SEEPAGE OR FILTRATION , , , ,JUNIATA FORMATION ,SANDSTONE , ,FLOWING ,OTHER/UNKNOWN/UNSPECIFIED ,ESTIMATED ,9,1/1/1971, ,1/1/1971,Bedford
1179,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS , ,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,CALIBRATED AIRLINE ,76,7/31/1985,WOZNIEWICZ ,7/31/1985,Bedford
1178,2050303, , , , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS , ,12,8/16/1972, , ,Bedford
1178,2050303, , , , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,12,1/1/1971, ,1/1/1971,Bedford
1177,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS , ,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,PRIVATE/UNIV GEOLOGIST (CONSULTANT) ,CALIBRATED AIRLINE ,258,7/31/1985,WOZNIEWICZ ,7/31/1985,Bedford
1176,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS ,999,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,CALIBRATED AIRLINE ,1010,7/31/1985,WOZNIEWICZ ,7/31/1985,Bedford
1176,2050303,FRACTURE ,PERENNIAL ,SUBAQUEOUS ,999,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,ESTIMATED ,400,8/12/1992,Geyer ,8/12/1992,Bedford
1175,2050303,PERCHED AND SEEPAGE OR FILTRATION , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE ,UNKNOWN ,FLOWING ,USGS OR PAGS , ,1600,11/10/1971,Flippo ,11/10/1971,Bedford
1175,2050303,PERCHED AND SEEPAGE OR FILTRATION , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE ,UNKNOWN ,FLOWING ,USGS OR PAGS , ,1800,9/18/1933,LOHMAN S. W. ,9/18/1933,Bedford
1173,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE AND SHALE ,UNKNOWN ,FLOWING ,USGS OR PAGS , ,8.5,5/26/1976, , ,Bedford
1172,2050303, , , , ,CONEMAUGH GROUP ,SHALE , ,FLOWING ,USGS OR PAGS , ,3,8/23/1972, , ,Bedford
1172,2050303, , , , ,CONEMAUGH GROUP ,SHALE , ,UNKNOWN ,UNKNOWN ,UNKNOWN ,3,1/1/1971, ,1/1/1971,Bedford
1171,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE , ,FLOWING ,USGS OR PAGS , ,2.5,8/23/1972, , ,Bedford
1171,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE , ,UNKNOWN ,REPORTED ,ESTIMATED ,2.5,1/1/1971, ,1/1/1971,Bedford
1170,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS , ,6.5,12/31/1973, , ,Bedford
1170,2050303,SEEPAGE OR FILTRATION , , , ,CONEMAUGH GROUP ,SANDSTONE AND SHALE , ,FLOWING ,UNKNOWN ,REPORTED METHOD NOT KNOWN ,6.5,1/1/1971, ,1/1/1971,Bedford
1169,2050303,SEEPAGE OR FILTRATION , , , ,REEDSVILLE FORMATION ,SHALE , ,FLOWING ,USGS OR PAGS , ,7,8/22/1972, , ,Bedford
1169,2050303,SEEPAGE OR FILTRATION , , , ,REEDSVILLE FORMATION ,SHALE , ,FLOWING ,UNKNOWN ,UNKNOWN ,7,1/1/1971, ,1/1/1971,Bedford
1168,2050303,SEEPAGE OR FILTRATION , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS , ,8,8/10/1972, , ,Bedford
1168,2050303,SEEPAGE OR FILTRATION , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE , ,UNKNOWN ,REPORTED ,ESTIMATED ,8,1/1/1971, ,1/1/1971,Bedford
1167,2050303, , , , ,CATSKILL FORMATION ,SANDSTONE AND SHALE , , , , , , , , ,Bedford
1166,2050303,SEEPAGE OR FILTRATION , , , ,BLOOMSBURG & MIFFLINTOWN FMS ,SHALE , ,FLOWING ,USGS OR PAGS , ,210,1/29/1969, , ,Bedford
1166,2050303,SEEPAGE OR FILTRATION , , , ,BLOOMSBURG & MIFFLINTOWN FMS ,SHALE , ,FLOWING ,USGS OR PAGS ,UNKNOWN ,210,1/1/1971, ,1/1/1971,Bedford
1165,2050303,SEEPAGE OR FILTRATION , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS , ,1310,11/11/1971,Flippo ,11/11/1971,Bedford
1165,2050303,SEEPAGE OR FILTRATION , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS ,UNKNOWN ,1310,11/11/1971,Flippo ,11/11/1971,Bedford
1164,2050303,SEEPAGE OR FILTRATION , , ,2,BELLEFONTE FORMATION ,DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,100,9/30/1933,LOHMAN S. W. ,9/30/1933,Bedford
1163,2050303,SEEPAGE OR FILTRATION , , , ,CATSKILL FORMATION ,SANDSTONE AND SHALE , , , , , , , , ,Bedford
1162,2050303,PERCHED OR CONTACT ,PERENNIAL , , ,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY , , , , , , , ,Bedford
1161,2050303,SEEPAGE OR FILTRATION , ,SUBAERIAL ,1,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,30,10/13/1933, , ,Bedford
1161,2050303,SEEPAGE OR FILTRATION , ,SUBAERIAL ,1,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,30,4/1/1984, , ,Bedford
1158,2050303, ,PERENNIAL , , ,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,40,9/28/1933, , ,Bedford
1158,2050303, ,PERENNIAL , , ,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,12,4/1/1987, , ,Bedford
1158,2050303, ,PERENNIAL , , ,ONONDAGA & OLD PORT FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,40,8/12/1992, , ,Bedford
1157,2050303, ,PERENNIAL ,SUBAERIAL ,5,ONONDAGA & OLD PORT FMS ,LIMESTONE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,100,4/1/1984, , ,Bedford
1156,2050303, ,PERENNIAL , , ,REEDSVILLE FORMATION ,LIMESTONE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,5,10/13/1933, , ,Bedford
1153,2050303,CONTACT ,PERENNIAL ,SUBAQUEOUS , ,NITTANY & LARKE FORMATIONS ,LIMESTONE AND DOLOMITE ,PRIMARY ,PUMPED ,USGS OR PAGS ,CALIBRATED AIRLINE ,263,8/5/1985,WOZNIEWICZ ,8/5/1985,Bedford
1151,2050303, , , , ,REEDSVILLE FORMATION ,SHALE , ,FLOWING ,USGS OR PAGS , ,14,8/15/1972, , ,Bedford
1150,2050303, , , , ,REEDSVILLE FORMATION ,SHALE , ,FLOWING ,USGS OR PAGS , ,10,8/15/1972, , ,Bedford
1147,2070002, , , , ,TUSCARORA FORMATION (SS) ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS , ,50,8/15/1972, , ,Bedford
1976, ,SEEPAGE OR FILTRATION ,PERENNIAL , , ,SHAWANGUNK FORMATION ,SANDSTONE AND SHALE ,UNKNOWN , , , , , , , ,Berks
1215,2040203, , , , ,ALLENTOWN FORMATION ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,560,1/1/1966, , ,Berks
1215,2040203, , , , ,ALLENTOWN FORMATION ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,560,3/17/1965, ,3/17/1965,Berks
1209,2040203,PERCHED AND SEEPAGE OR FILTRATION ,SEASONAL , , ,EPLER FORMATION ,LIMESTONE ,PRIMARY ,FLOWING ,USGS OR PAGS ,CALIBRATED AIRLINE ,910,11/8/1971,Flippo ,11/8/1971,Berks
1207,2040203,SEEPAGE OR FILTRATION , , , ,JACKSONBURG FORMATION ,LIMESTONE ,PRIMARY ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,150,8/10/1971,Flippo ,8/10/1971,Berks
1202,2040203,SEEPAGE OR FILTRATION , , , ,ALLENTOWN FORMATION ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,900,3/17/1972, ,3/17/1972,Berks
1201,2040203, , , , ,ALLENTOWN FORMATION ,LIMESTONE AND DOLOMITE , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,900,3/17/1972, ,3/17/1972,Berks
1198,2050305, , , , ,HERSHEY & MYERSTOWN FMS ,LIMESTONE , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,4,8/23/1957, ,8/23/1957,Berks
1197,2040203,TUBULAR - CAVE , , , ,ALLENTOWN FORMATION ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,CALIBRATED AIRLINE ,890,11/9/1971,Flippo ,11/9/1971,Berks
1195,2040203,SEEPAGE OR FILTRATION , , , ,RICHLAND FORMATION ,DOLOMITE , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,700,11/18/1970,Flippo ,11/18/1970,Berks
1195,2040203,SEEPAGE OR FILTRATION , , , ,RICHLAND FORMATION ,DOLOMITE , ,FLOWING ,USGS OR PAGS ,CALIBRATED AIRLINE ,68,11/10/1971,Flippo ,11/10/1971,Berks
1195,2040203,SEEPAGE OR FILTRATION , , , ,RICHLAND FORMATION ,DOLOMITE , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,700,11/18/1970,Flippo ,11/18/1970,Berks
1195,2040203,SEEPAGE OR FILTRATION , , , ,RICHLAND FORMATION ,DOLOMITE , ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,68,11/10/1971,Flippo ,11/10/1971,Berks
1194,2040203,SEEPAGE OR FILTRATION ,PERENNIAL , , ,EPLER FORMATION ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,CALIBRATED AIRLINE ,2640,11/10/1971,Flippo ,11/10/1971,Berks
1194,2040203,SEEPAGE OR FILTRATION ,PERENNIAL , , ,EPLER FORMATION ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,2640,11/10/1971,Flippo ,11/10/1971,Berks
1193,2040203,SEEPAGE OR FILTRATION ,PERENNIAL , , ,ONTELAUNEE FORMATION ,DOLOMITE , ,FLOWING ,USGS OR PAGS ,CALIBRATED AIRLINE ,342,11/10/1971,Flippo ,11/10/1971,Berks
1193,2040203,SEEPAGE OR FILTRATION ,PERENNIAL , , ,ONTELAUNEE FORMATION ,DOLOMITE , ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,342,11/10/1971,Flippo ,11/10/1971,Berks
1191,2040203,SEEPAGE OR FILTRATION , , , ,BUFFALO SPRINGS FORMATION ,LIMESTONE AND DOLOMITE , ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,250,1/1/1965, ,1/1/1965,Berks
1191,2040203,SEEPAGE OR FILTRATION , , , ,BUFFALO SPRINGS FORMATION ,LIMESTONE AND DOLOMITE , ,FLOWING ,REPORTED ,REPORTED METHOD NOT KNOWN ,250,1/1/1965, ,1/1/1965,Berks
1190,2040203,SEEPAGE OR FILTRATION , , , ,ONTELAUNEE FORMATION ,LIMESTONE AND DOLOMITE , , , , , , , , ,Berks
1187,2040203,SEEPAGE OR FILTRATION , , , ,BRUNSWICK FORMATION ,SILTSTONE , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,150,9/26/1925, ,9/26/1925,Berks
1184,2040203, , , , ,HAMMER CREEK FORMATION ,CONGLOMERATE , , , , , , , , ,Berks
1174,2050306, , , , ,BUFFALO SPRINGS FORMATION ,LIMESTONE AND DOLOMITE ,PRIMARY ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,10,10/1/1925,Flippo ,10/1/1925,Berks
2099, ,PERCHED OR CONTACT , , , ,BURGOON MEMBER OF POCONO FORMATION ,SANDSTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,7,1/1/1987, , ,Blair
1213,2050302,TUBULAR - CAVE , , , ,KEYSER & TONOLOWAY FMS ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,104,11/9/1971,Flippo ,11/9/1971,Blair
1213,2050302,TUBULAR - CAVE , , , ,KEYSER & TONOLOWAY FMS ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,415,6/23/1944,C.ROSSAN ,6/23/1944,Blair
1212,2050302, , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS ,ESTIMATED ,1500,1/1/1933,N. WILSON ,1/1/1933,Blair
1212,2050302, , , , ,ONONDAGA & OLD PORT FMS ,SANDSTONE AND SHALE , ,FLOWING ,USGS OR PAGS ,OTHER ,396,11/8/1971,Flippo ,11/8/1971,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,13500,11/9/1971,Flippo ,11/9/1971,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2000,10/1/1933,N.WILSON ,10/1/1933,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,7430,6/20/1944,Flippo ,6/20/1944,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,13500,11/9/1971,Flippo ,11/9/1971,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2000,10/1/1933,N.WILSON ,10/1/1933,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,7430,6/20/1944,Flippo ,6/20/1944,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,13500,11/9/1971,Flippo ,11/9/1971,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2000,10/1/1933,N.WILSON ,10/1/1933,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,7430,6/20/1944,Flippo ,6/20/1944,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,13500,11/9/1971,Flippo ,11/9/1971,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2000,10/1/1933,N.WILSON ,10/1/1933,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,7430,6/20/1944,Flippo ,6/20/1944,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,13500,11/9/1971,Flippo ,11/9/1971,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2000,10/1/1933,N.WILSON ,10/1/1933,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,7430,6/20/1944,Flippo ,6/20/1944,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,13500,11/9/1971,Flippo ,11/9/1971,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2000,10/1/1933,N.WILSON ,10/1/1933,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,7430,6/20/1944,Flippo ,6/20/1944,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,PUMPED ,USGS OR PAGS ,REPORTED METHOD NOT KNOWN ,13500,11/9/1971,Flippo ,11/9/1971,Blair
1211,2050302,TUBULAR - CAVE ,PERENNIAL ,SUBAQUEOUS , ,COBURN SALONA NEALMONT BENNERSNYDER HATTER LOYSBURG FMS. ,LIMESTONE AND SHALE ,PRIMARY ,FLOWING ,USGS OR PAGS ,ESTIMATED ,2000,10/1/1933,N.WILSON ,10/1/1933,Blair
